Symbol;Market
WFC / US9497461015;NSY
UCG / IT0005239360;MIL
TIT / IT0003497168;MIL
SPG / US8288061091;NSY
STM / NL0000226223;MIL
RVLV / US76156B1070;NSY
JNJ / US4781601046;NSY
ISP / IT0000072618;MIL
IG / IT0005211237;MIL
G / IT0000062072;MIL
GRMN / CH0114405324;NDQ
FB / US30303M1027;NDQ
ENEL / IT0003128367;MIL
DOV / IT0001044996;MIL
BRK.B / US0846707026;NSY
BK / US0640581007;NSY
ATL / IT0003506190;MIL
AAPL / US0378331005;NDQ
GOOGL / US02079K3059;NDQ
ADBE / US00724F1012;NDQ
T / US00206R1023;NSY
A2A / IT0001233417;MIL
MMM / US88579Y1010;NSY
BABA / US01609W1027;NSY
AMRS / US03236M2008;NDQ
ADS / US0185811082;NSY
BUD / US03524A1088;NSY
AZM / IT0003261697;MIL
BYND / US08862E1091;NDQ
BKNG / US09857L1089;NDQ
BPY / BMG162491077;NDQ
BAYN / DE000BAY0017;XET
BA / US0970231058;NSY
SAM / US1005571070;NSY
BPYU / US11282X1037;NDQ
CCL / PA1436583006;NSY
CVX / US1667641005;NSY
KO / US1912161007;NSY
DOYU / US25985W1053;NDQ
ENI / IT0003132476;MIL
EQM / US26885B1008;NSY
AIGE / GB00B15KYB02;MIL
ENB / CA29250N1050;NSY
EPD / US2937921078;NSY
ETH / IT0003895668;MIL
EXPE / US30212P3038;NDQ
XOM / US30231G1022;NSY
FILA / IT0004967292;MIL
FB / US30303M1027;NDQ
FCA / NL0010877643;MIL
GPS / US3647601083;NSY
GRMN / CH0114405324;NDQ
HER / IT0001250932;MIL
HPQ / US40434L1052;NSY
HUYA / US44852D1081;NSY
HASI / US41068X1000;NSY
HEIA / NL0000009165;EAM
HPE / US42824C1099;NSY
HRL / US4404521001;NSY
IRC / IT0001077780;MIL
IUKD / IE00B0M63060;MIL
INTC / US4581401001;NDQ
MSFT / US5949181045;NDQ
NEXI / IT0005366767;MIL
NNN / US6374171063;NSY
OXY / US6745991058;NSY
PIRC / IT0005278236;MIL
PVH / US6936561009;NSY
PYPL / US70450Y1038;NDQ
PBR / US71654V4086;NSY
PIA / IT0003073266;MIL
QCOM / US7475251036;NDQ
REY / IT0005282865;MIL
RDS^A / US7802592060;NSY
RR. / GB00B63H8491;LSE
RBS / GB00B7T77214;LSE
SRG / IT0003153415;MIL
SNE / US8356993076;NSY
SPG / US8288061091;NSY
SRNE / US83587F2020;NDQ
TSLA / US88160R1014;NDQ
TM / US8923313071;NSY
TRIP / US8969452015;NDQ
UAA / US9043111072;NSY
UCG / IT0005239360;MIL
ULVR / GB00B10RZP78;LSE
UNH / US91324P1021;NSY
ESPO / IE00BYWQWR46;MIL
VOW3 / DE0007664039;XET
DIS / US2546871060;NSY
WM / US94106L1098;NSY
WFC / US9497461015;NSY
WRK / US96145D1054;NSY
EZJ / GB00B7KR2P84;LSE
EXSH / DE0002635299;XET
